iso,year,scal_Narayan_etal_ 2023,scal_Gini25,scal_Gini50,Gini_2015,Narayan_etal_2023,Gini25,Gini50
abw,2015,1,1,1,49.11543323,49.11543323,49.11543323,49.11543323
afg,2015,1,1,1,33.836907,33.836907,33.836907,33.836907
ago,2015,1,1,1,48.69678638,48.69678638,48.69678638,48.69678638
alb,2015,1,1,1,29.29675829,29.29675829,29.29675829,29.29675829
are,2015,1,1,1,41.38078467,41.38078467,41.38078467,41.38078467
arg,2015,1,1,1,43.28076904,43.28076904,43.28076904,43.28076904
arm,2015,1,1,1,31.19795103,31.19795103,31.19795103,31.19795103
aus,2015,1,1,1,34.76960881,34.76960881,34.76960881,34.76960881
aut,2015,1,1,1,26.920372,26.920372,26.920372,26.920372
aze,2015,1,1,1,16.83387678,16.83387678,16.83387678,16.83387678
bdi,2015,1,1,1,39.396907,39.396907,39.396907,39.396907
bel,2015,1,1,1,27.400576,27.400576,27.400576,27.400576
ben,2015,1,1,1,49.42039088,49.42039088,49.42039088,49.42039088
bfa,2015,1,1,1,45.66019895,45.66019895,45.66019895,45.66019895
bgd,2015,1,1,1,38.016907,38.016907,38.016907,38.016907
bgr,2015,1,1,1,36.993893,36.993893,36.993893,36.993893
bhr,2015,1,1,1,41.38078467,41.38078467,41.38078467,41.38078467
bhs,2015,1,1,1,42.8157224,42.8157224,42.8157224,42.8157224
bih,2015,1,1,1,32.89479219,32.89479219,32.89479219,32.89479219
blr,2015,1,1,1,37.910557,37.910557,37.910557,37.910557
blz,2015,1,1,1,53.24656233,53.24656233,53.24656233,53.24656233
bol,2015,1,1,1,53.894245,53.894245,53.894245,53.894245
bra,2015,1,1,1,57.23143,57.23143,57.23143,57.23143
brb,2015,1,1,1,46.76660582,46.76660582,46.76660582,46.76660582
brn,2015,1,1,1,45.07396904,45.07396904,45.07396904,45.07396904
btn,2015,1,1,1,44.22691212,44.22691212,44.22691212,44.22691212
bwa,2015,1,1,1,66.44656233,66.44656233,66.44656233,66.44656233
caf,2015,1,1,1,62.22656233,62.22656233,62.22656233,62.22656233
can,2015,1,1,1,28.171631,28.171631,28.171631,28.171631
che,2015,1,1,1,31.64360818,31.64360818,31.64360818,31.64360818
chl,2015,1,1,1,55.225136,55.225136,55.225136,55.225136
chn,2015,1,1,1,46.318787,46.318787,46.318787,46.318787
civ,2015,1,1,1,49.15908925,49.15908925,49.15908925,49.15908925
cmr,2015,1,1,1,48.797287,48.797287,48.797287,48.797287
cod,2015,1,1,1,48.3387529,48.3387529,48.3387529,48.3387529
cog,2015,1,1,1,46.12935994,46.12935994,46.12935994,46.12935994
col,2015,1,1,1,54.65794,54.65794,54.65794,54.65794
com,2015,1,1,1,61.91656233,61.91656233,61.91656233,61.91656233
cpv,2015,1,1,1,53.17656233,53.17656233,53.17656233,53.17656233
cri,2015,1,1,1,44.666679,44.666679,44.666679,44.666679
cub,2015,1,1,1,27.036907,27.036907,27.036907,27.036907
cyp,2015,1,1,1,32.42975243,32.42975243,32.42975243,32.42975243
cze,2015,1,1,1,27.376951,27.376951,27.376951,27.376951
deu,2015,1,1,1,29.823812,29.823812,29.823812,29.823812
dji,2015,1,1,1,50.60328323,50.60328323,50.60328323,50.60328323
dnk,2015,1,1,1,24.247877,24.247877,24.247877,24.247877
dom,2015,1,1,1,51.410946,51.410946,51.410946,51.410946
dza,2015,1,1,1,41.09154434,41.09154434,41.09154434,41.09154434
ecu,2015,1,1,1,39.319469,39.319469,39.319469,39.319469
egy,2015,1,1,1,36.786907,36.786907,36.786907,36.786907
eri,2015,1,1,1,49.87470165,49.87470165,49.87470165,49.87470165
esp,2015,1,1,1,32.089947,32.089947,32.089947,32.089947
est,2015,1,1,1,35.27158,35.27158,35.27158,35.27158
eth,2015,1,1,1,39.206907,39.206907,39.206907,39.206907
fin,2015,1,1,1,25.387938,25.387938,25.387938,25.387938
fji,2015,1,1,1,48.75708675,48.75708675,48.75708675,48.75708675
fra,2015,1,1,1,28.474508,28.474508,28.474508,28.474508
gab,2015,1,1,1,48.154083,48.154083,48.154083,48.154083
gbr,2015,1,1,1,33.743347,33.743347,33.743347,33.743347
geo,2015,1,1,1,41.77350643,41.77350643,41.77350643,41.77350643
gha,2015,1,1,1,48.74703669,48.74703669,48.74703669,48.74703669
gin,2015,1,1,1,40.76756951,40.76756951,40.76756951,40.76756951
gmb,2015,1,1,1,53.31656233,53.31656233,53.31656233,53.31656233
gnb,2015,1,1,1,56.64656233,56.64656233,56.64656233,56.64656233
gnq,2015,1,1,1,49.87470165,49.87470165,49.87470165,49.87470165
grc,2015,1,1,1,32.843105,32.843105,32.843105,32.843105
gtm,2015,1,1,1,54.698929,54.698929,54.698929,54.698929
guy,2015,1,1,1,44.24098695,44.24098695,44.24098695,44.24098695
hkg,2015,1,1,1,54.68656233,54.68656233,54.68656233,54.68656233
hnd,2015,1,1,1,57.38656233,57.38656233,57.38656233,57.38656233
hrv,2015,1,1,1,31.77468381,31.77468381,31.77468381,31.77468381
hti,2015,1,1,1,60.65747142,60.65747142,60.65747142,60.65747142
hun,2015,1,1,1,26.851669,26.851669,26.851669,26.851669
idn,2015,1,1,1,41.25558222,41.25558222,41.25558222,41.25558222
ind,2015,1,1,1,37.555603,37.555603,37.555603,37.555603
irl,2015,1,1,1,31.199495,31.199495,31.199495,31.199495
irn,2015,1,1,1,45.57223126,45.57223126,45.57223126,45.57223126
irq,2015,1,1,1,36.936907,36.936907,36.936907,36.936907
isl,2015,1,1,1,27.22387678,27.22387678,27.22387678,27.22387678
isr,2015,1,1,1,37.166534,37.166534,37.166534,37.166534
ita,2015,1,1,1,31.306206,31.306206,31.306206,31.306206
jam,2015,1,1,1,61.346275,61.346275,61.346275,61.346275
jor,2015,1,1,1,39.696907,39.696907,39.696907,39.696907
jpn,2015,1,1,1,32.0535019,32.0535019,32.0535019,32.0535019
kaz,2015,1,1,1,27.60981728,27.60981728,27.60981728,27.60981728
ken,2015,1,1,1,54.49656233,54.49656233,54.49656233,54.49656233
kgz,2015,1,1,1,27.78221429,27.78221429,27.78221429,27.78221429
khm,2015,1,1,1,37.736907,37.736907,37.736907,37.736907
kor,2015,1,1,1,38.686907,38.686907,38.686907,38.686907
kwt,2015,1,1,1,41.38078467,41.38078467,41.38078467,41.38078467
lao,2015,1,1,1,43.33788003,43.33788003,43.33788003,43.33788003
lbn,2015,1,1,1,42.8157224,42.8157224,42.8157224,42.8157224
lbr,2015,1,1,1,42.39146932,42.39146932,42.39146932,42.39146932
lby,2015,1,1,1,41.38078467,41.38078467,41.38078467,41.38078467
lca,2015,1,1,1,42.47305645,42.47305645,42.47305645,42.47305645
lka,2015,1,1,1,43.45754116,43.45754116,43.45754116,43.45754116
lso,2015,1,1,1,60.16656233,60.16656233,60.16656233,60.16656233
ltu,2015,1,1,1,36.483173,36.483173,36.483173,36.483173
lux,2015,1,1,1,27.566338,27.566338,27.566338,27.566338
lva,2015,1,1,1,36.22350643,36.22350643,36.22350643,36.22350643
mac,2015,1,1,1,44.03317117,44.03317117,44.03317117,44.03317117
mar,2015,1,1,1,46.4338954,46.4338954,46.4338954,46.4338954
mda,2015,1,1,1,30.59380465,30.59380465,30.59380465,30.59380465
mdg,2015,1,1,1,46.32695276,46.32695276,46.32695276,46.32695276
mdv,2015,1,1,1,42.63623071,42.63623071,42.63623071,42.63623071
mex,2015,1,1,1,54.597805,54.597805,54.597805,54.597805
mkd,2015,1,1,1,44.24350643,44.24350643,44.24350643,44.24350643
mli,2015,1,1,1,39.076907,39.076907,39.076907,39.076907
mlt,2015,1,1,1,27.697582,27.697582,27.697582,27.697582
mmr,2015,1,1,1,43.71318083,43.71318083,43.71318083,43.71318083
mne,2015,1,1,1,30.666907,30.666907,30.666907,30.666907
mng,2015,1,1,1,39.916907,39.916907,39.916907,39.916907
moz,2015,1,1,1,51.56104443,51.56104443,51.56104443,51.56104443
mrt,2015,1,1,1,43.20734063,43.20734063,43.20734063,43.20734063
mus,2015,1,1,1,41.84347577,41.84347577,41.84347577,41.84347577
mwi,2015,1,1,1,52.1054263,52.1054263,52.1054263,52.1054263
mys,2015,1,1,1,52.24656233,52.24656233,52.24656233,52.24656233
nam,2015,1,1,1,66.95656233,66.95656233,66.95656233,66.95656233
ncl,2015,1,1,1,42.09794639,42.09794639,42.09794639,42.09794639
ner,2015,1,1,1,37.486907,37.486907,37.486907,37.486907
nga,2015,1,1,1,48.94803794,48.94803794,48.94803794,48.94803794
nic,2015,1,1,1,45.62501187,45.62501187,45.62501187,45.62501187
nld,2015,1,1,1,26.848343,26.848343,26.848343,26.848343
nor,2015,1,1,1,25.73387678,25.73387678,25.73387678,25.73387678
npl,2015,1,1,1,38.786907,38.786907,38.786907,38.786907
nzl,2015,1,1,1,32.907761,32.907761,32.907761,32.907761
omn,2015,1,1,1,41.38078467,41.38078467,41.38078467,41.38078467
pak,2015,1,1,1,35.626907,35.626907,35.626907,35.626907
pan,2015,1,1,1,54.069603,54.069603,54.069603,54.069603
per,2015,1,1,1,47.930405,47.930405,47.930405,47.930405
phl,2015,1,1,1,43.382694,43.382694,43.382694,43.382694
png,2015,1,1,1,49.86259363,49.86259363,49.86259363,49.86259363
pol,2015,1,1,1,36.986496,36.986496,36.986496,36.986496
pri,2015,1,1,1,55.99350643,55.99350643,55.99350643,55.99350643
prt,2015,1,1,1,36.466221,36.466221,36.466221,36.466221
pry,2015,1,1,1,52.58656233,52.58656233,52.58656233,52.58656233
pse,2015,1,1,1,40.496907,40.496907,40.496907,40.496907
pyf,2015,1,1,1,42.09794639,42.09794639,42.09794639,42.09794639
qat,2015,1,1,1,46.05365491,46.05365491,46.05365491,46.05365491
rou,2015,1,1,1,27.40387678,27.40387678,27.40387678,27.40387678
rus,2015,1,1,1,41.23350643,41.23350643,41.23350643,41.23350643
rwa,2015,1,1,1,57.32656233,57.32656233,57.32656233,57.32656233
sau,2015,1,1,1,41.38078467,41.38078467,41.38078467,41.38078467
sdn,2015,1,1,1,41.13255381,41.13255381,41.13255381,41.13255381
sen,2015,1,1,1,45.91106473,45.91106473,45.91106473,45.91106473
sgp,2015,1,1,1,53.28656233,53.28656233,53.28656233,53.28656233
slb,2015,1,1,1,46.05898579,46.05898579,46.05898579,46.05898579
sle,2015,1,1,1,40.026907,40.026907,40.026907,40.026907
slv,2015,1,1,1,42.35067576,42.35067576,42.35067576,42.35067576
som,2015,1,1,1,45.5898248,45.5898248,45.5898248,45.5898248
srb,2015,1,1,1,29.69549693,29.69549693,29.69549693,29.69549693
stp,2015,1,1,1,36.856907,36.856907,36.856907,36.856907
sur,2015,1,1,1,57.59656233,57.59656233,57.59656233,57.59656233
svk,2015,1,1,1,28.220137,28.220137,28.220137,28.220137
svn,2015,1,1,1,25.06387678,25.06387678,25.06387678,25.06387678
swe,2015,1,1,1,27.43387678,27.43387678,27.43387678,27.43387678
swz,2015,1,1,1,57.43656233,57.43656233,57.43656233,57.43656233
